               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.034474,            0.057682,                   0,             0.96947,             0.95163,             0.97827,             0.68878,            0.025222,            0.056948,                   0,              0.0505,              0.0505,              0.0505
                  52,             0.03418,            0.057463,                   0,             0.96982,             0.95155,             0.97844,             0.68909,            0.025206,            0.056901,                   0,             0.04951,             0.04951,             0.04951
                  53,            0.034124,            0.057639,                   0,             0.96997,             0.95179,             0.97855,             0.68969,            0.025149,            0.056835,                   0,             0.04852,             0.04852,             0.04852
                  54,            0.033996,            0.057609,                   0,             0.97027,             0.95165,             0.97872,             0.68996,            0.025095,            0.056778,                   0,             0.04753,             0.04753,             0.04753
                  55,            0.033687,            0.057239,                   0,             0.97024,             0.95197,             0.97898,             0.69028,            0.025054,            0.056724,                   0,             0.04654,             0.04654,             0.04654
                  56,            0.033566,            0.057189,                   0,              0.9707,             0.95193,              0.9792,             0.69063,            0.025023,            0.056673,                   0,             0.04555,             0.04555,             0.04555
                  57,            0.033174,            0.056847,                   0,             0.97118,             0.95189,             0.97939,             0.69093,            0.024992,            0.056607,                   0,             0.04456,             0.04456,             0.04456
                  58,            0.033167,            0.056803,                   0,             0.97128,             0.95209,             0.97937,             0.69116,            0.024967,            0.056548,                   0,             0.04357,             0.04357,             0.04357
                  59,            0.032801,            0.056598,                   0,             0.97136,             0.95218,             0.97939,             0.69151,            0.024938,            0.056503,                   0,             0.04258,             0.04258,             0.04258
                  60,            0.032605,            0.056084,                   0,             0.97163,             0.95235,              0.9796,              0.6919,            0.024909,            0.056459,                   0,             0.04159,             0.04159,             0.04159
                  61,            0.032149,            0.055929,                   0,             0.97185,             0.95273,             0.97962,             0.69217,            0.024876,            0.056408,                   0,              0.0406,              0.0406,              0.0406
                  62,            0.032273,            0.056067,                   0,             0.97194,             0.95281,             0.97977,              0.6929,            0.024826,            0.056351,                   0,             0.03961,             0.03961,             0.03961
                  63,            0.032006,            0.055814,                   0,              0.9722,             0.95295,             0.97994,             0.69304,            0.024794,            0.056302,                   0,             0.03862,             0.03862,             0.03862
                  64,            0.031732,            0.055615,                   0,              0.9722,             0.95336,                0.98,             0.69399,            0.024757,            0.056237,                   0,             0.03763,             0.03763,             0.03763
                  65,             0.03157,            0.055489,                   0,             0.97257,             0.95333,             0.98018,             0.69458,            0.024728,            0.056171,                   0,             0.03664,             0.03664,             0.03664
                  66,            0.031256,             0.05519,                   0,             0.97286,             0.95354,             0.98027,             0.69507,            0.024686,            0.056111,                   0,             0.03565,             0.03565,             0.03565
                  67,            0.030926,            0.054961,                   0,             0.97291,             0.95384,             0.98045,             0.69566,            0.024646,            0.056044,                   0,             0.03466,             0.03466,             0.03466
                  68,            0.030629,            0.054668,                   0,             0.97303,             0.95371,             0.98053,             0.69655,            0.024596,            0.055978,                   0,             0.03367,             0.03367,             0.03367
                  69,            0.030533,            0.054384,                   0,             0.97323,              0.9538,             0.98064,             0.69694,            0.024548,            0.055925,                   0,             0.03268,             0.03268,             0.03268
                  70,            0.030271,            0.054805,                   0,             0.97333,             0.95389,             0.98078,             0.69732,            0.024517,            0.055871,                   0,             0.03169,             0.03169,             0.03169
                  71,            0.029921,            0.054337,                   0,             0.97355,              0.9541,             0.98091,             0.69786,            0.024462,            0.055805,                   0,              0.0307,              0.0307,              0.0307
                  72,            0.029766,            0.054063,                   0,             0.97384,             0.95407,               0.981,             0.69832,            0.024415,            0.055738,                   0,             0.02971,             0.02971,             0.02971
                  73,            0.029621,            0.053817,                   0,             0.97397,              0.9541,             0.98124,             0.69881,            0.024367,             0.05568,                   0,             0.02872,             0.02872,             0.02872
                  74,            0.029292,            0.053507,                   0,              0.9745,              0.9542,              0.9815,             0.69922,            0.024317,            0.055621,                   0,             0.02773,             0.02773,             0.02773
                  75,            0.028893,            0.053102,                   0,             0.97471,             0.95411,             0.98151,             0.69967,            0.024269,            0.055554,                   0,             0.02674,             0.02674,             0.02674
                  76,            0.028956,            0.053291,                   0,             0.97511,             0.95432,              0.9817,             0.70015,            0.024221,            0.055493,                   0,             0.02575,             0.02575,             0.02575
                  77,            0.028537,            0.053125,                   0,             0.97556,              0.9543,             0.98196,             0.70105,            0.024167,            0.055426,                   0,             0.02476,             0.02476,             0.02476
                  78,            0.028257,            0.052742,                   0,             0.97579,             0.95433,             0.98209,             0.70189,            0.024122,            0.055357,                   0,             0.02377,             0.02377,             0.02377
                  79,            0.028169,             0.05264,                   0,              0.9757,             0.95466,              0.9822,             0.70237,            0.024078,            0.055296,                   0,             0.02278,             0.02278,             0.02278
                  80,            0.027888,            0.051848,                   0,             0.97588,             0.95488,              0.9823,             0.70296,            0.024023,            0.055223,                   0,             0.02179,             0.02179,             0.02179
                  81,            0.027602,            0.051848,                   0,             0.97624,             0.95507,             0.98248,             0.70369,            0.023975,            0.055156,                   0,              0.0208,              0.0208,              0.0208
                  82,            0.027338,            0.051858,                   0,             0.97653,             0.95512,             0.98258,             0.70443,            0.023917,            0.055082,                   0,             0.01981,             0.01981,             0.01981
                  83,            0.027231,             0.05145,                   0,             0.97671,             0.95544,             0.98269,             0.70504,             0.02386,            0.055015,                   0,             0.01882,             0.01882,             0.01882
                  84,            0.026873,            0.050814,                   0,             0.97729,             0.95553,             0.98282,             0.70554,             0.02381,            0.054951,                   0,             0.01783,             0.01783,             0.01783
                  85,            0.026661,            0.050749,                   0,             0.97745,             0.95558,             0.98293,             0.70607,            0.023759,            0.054887,                   0,             0.01684,             0.01684,             0.01684
                  86,            0.026491,            0.050508,                   0,             0.97778,             0.95556,             0.98305,             0.70644,            0.023716,            0.054829,                   0,             0.01585,             0.01585,             0.01585
                  87,            0.026357,            0.050486,                   0,             0.97811,             0.95539,             0.98322,             0.70754,            0.023669,            0.054767,                   0,             0.01486,             0.01486,             0.01486
                  88,            0.026058,            0.049931,                   0,             0.97842,             0.95538,             0.98327,             0.70816,            0.023634,            0.054713,                   0,             0.01387,             0.01387,             0.01387
                  89,             0.02591,            0.049455,                   0,             0.97838,             0.95578,             0.98345,             0.70867,            0.023603,            0.054669,                   0,             0.01288,             0.01288,             0.01288
                  90,            0.025685,            0.049497,                   0,              0.9786,             0.95569,             0.98356,             0.70907,            0.023573,            0.054628,                   0,             0.01189,             0.01189,             0.01189
                  91,            0.025484,            0.048939,                   0,             0.97881,             0.95613,             0.98371,             0.70953,            0.023543,            0.054577,                   0,              0.0109,              0.0109,              0.0109
                  92,             0.02525,            0.048753,                   0,             0.97915,              0.9562,             0.98383,             0.70989,            0.023515,            0.054551,                   0,             0.00991,             0.00991,             0.00991
                  93,             0.02498,            0.047994,                   0,              0.9794,             0.95635,             0.98392,             0.71044,            0.023478,              0.0545,                   0,             0.00892,             0.00892,             0.00892
                  94,            0.024643,            0.047809,                   0,             0.97958,             0.95645,             0.98401,             0.71098,            0.023445,            0.054459,                   0,             0.00793,             0.00793,             0.00793
                  95,            0.024368,            0.047122,                   0,             0.97989,             0.95647,             0.98417,              0.7119,            0.023406,            0.054419,                   0,             0.00694,             0.00694,             0.00694
                  96,            0.024117,            0.046532,                   0,             0.97997,             0.95673,             0.98426,             0.71268,            0.023377,            0.054381,                   0,             0.00595,             0.00595,             0.00595
                  97,            0.023816,             0.04609,                   0,             0.98023,             0.95653,             0.98437,             0.71324,            0.023351,            0.054341,                   0,             0.00496,             0.00496,             0.00496
                  98,            0.023518,            0.045507,                   0,             0.98058,             0.95638,             0.98453,             0.71384,            0.023327,            0.054319,                   0,             0.00397,             0.00397,             0.00397
                  99,            0.023189,            0.045065,                   0,             0.98098,              0.9565,             0.98465,             0.71442,            0.023302,            0.054298,                   0,             0.00298,             0.00298,             0.00298
